no,cafename,area,location,time,dayoff,image,dessert,pet,nokids,takeout,delivery,meeting,franchise,parking,price,xlocation,ylocation,score,count,average
189,애나커피,봉곡동,경남 진주시 진주성로 58-1,,,/public/cafe/봉곡동/애나커피.jpg,1,0,0,0,0,0,0,0,2800,35.1949094,128.0771048,0,0,0
190,우리까페,봉곡동,경남 진주시 진주대로 1188,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1949272,128.0731615,0,0,0
191,유캔두잇 진주성북점,봉곡동,경남 진주시 진주대로1208번길 9 1층,월~일 13:00~24:00,,/public/cafe/봉곡동/유캔두잇 진주성북점.jpg,1,0,0,0,1,0,0,0,3500,35.1948269,128.0707998,0,0,0
192,유턴커피,봉곡동,경남 진주시 진주대로 1226,월~일 9:30~22:00,,/public/cafe/봉곡동/유턴커피.jpg,1,0,0,0,0,1,0,1,4000,35.1940008,128.06909,0,0,0
193,커피상점 탁씨네,봉곡동,경남 진주시 진주대로 1145 1층,월~토 11:00~21:00,일,/public/cafe/봉곡동/커피상점 탁씨네.jpg,0,0,0,0,0,0,0,0,2500,35.1958076,128.0778323,0,0,0
194,파리바게뜨 진주봉곡점,봉곡동,경남 진주시 진주성로 57-1,월~일 09:45~22:30,,/public/cafe/봉곡동/파리바게뜨 진주봉곡점.jpg,0,0,0,0,0,0,1,0,3700,35.1947975,128.0767453,0,0,0
195,하이몬드과자점,봉곡동,경남 진주시 진주대로1163번길 9,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1949178,128.0764093,0,0,0
196,공간이음,사봉면,경남 진주시 사봉면 동부로1769번길 27,화~일 10:00~18:00,월,/public/cafe/사봉면/공간이음.jpg,1,0,0,0,0,0,0,1,5500,35.1816575,128.2636962,0,0,0
197,181Place,상대동,경남 진주시 모덕로 181 1층 대로변(상대현대입구),월~일 10:00~21:00,,/public/cafe/상대동/181Place.jpg,1,0,0,0,0,1,0,0,3500,35.1871445,128.1150145,0,0,0
198,KDH 1004 커피,상대동,경남 진주시 동진로 218,,,/public/cafe/상대동/KDH 1004 커피.jpg,1,0,0,0,0,0,0,0,10000,35.1796996,128.1149545,0,0,0
199,경주빵먹을래싸갈래,상대동,경남 진주시 솔밭로 106,,,/public/cafe/상대동/경주빵먹을래싸갈래.jpg,0,0,0,0,0,0,0,0,10000,35.178574,128.1071345,0,0,0
200,골든커피,상대동,경남 진주시 도동천로 111,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1812473,128.1117772,0,0,0
201,까로치아 진주시청점,상대동,경남 진주시 솔밭로 135 1층,월~금 11:00~1:00 / 토~일 11:30~20:00,,/public/cafe/상대동/까로치아 진주시청점.jpg,0,0,0,0,1,1,0,0,2500,35.1812099,128.1066526,0,0,0
202,내인생의봄날,상대동,경남 진주시 솔밭로132번길 15-1,,,/public/cafe/상대동/내인생의봄날.jpg,0,0,0,0,0,0,0,0,10000,35.1811057,128.1083709,0,0,0
203,노드,상대동,경남 진주시 대신로 313 1층 카페노드,월~일 10:00~22:00,,/public/cafe/상대동/노드.jpg,1,0,0,0,1,1,0,1,5000,35.1883467,128.1164727,0,0,0
204,느티나무스터디카페,상대동,경남 진주시 동진로 139 3층,월~토 10:00~22:00,,/public/cafe/logo.png,1,0,0,0,0,1,0,1,3000,35.1797034,128.1063362,0,0,0
205,더숲커피,상대동,경남 진주시 돗골로 173,월~일 9:00~23:00,,/public/cafe/상대동/더숲커피.jpg,1,0,0,0,0,1,0,1,4200,35.1836777,128.1117664,0,0,0
206,더웨이닝커피 제이스퀘어 호텔점,상대동,경남 진주시 상대동 297-8,월~일 9:00~23:00,,/public/cafe/상대동/더웨이닝커피 제이스퀘어 호텔점.png,0,0,0,0,0,0,1,0,3900,35.1786039,128.1068257,0,0,0
207,더커피하우스,상대동,경남 진주시 상대로 31,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,2500,35.1843922,128.1154309,0,0,0
208,데니스커피 진주시청점,상대동,경남 진주시 도동천로 57 데니스커피 진주시청점,월~일 9:00~22:00,,/public/cafe/상대동/데니스커피 진주시청점.jpg,0,0,0,0,0,0,0,0,10000,35.1785796,128.1072643,0,0,0
209,도란도란,상대동,경남 진주시 대신로255번길 19 1층,월~토 11:00~20:00,,/public/cafe/상대동/도란도란.jpg,1,0,0,0,0,0,0,0,3500,35.1830311,128.1151785,0,0,0
210,디저트 유희,상대동,경남 진주시 모덕로 143 1층 디저트유희,화~일 12:00~21:00,,/public/cafe/상대동/디저트 유희.jpg,1,0,0,0,0,0,0,0,4000,35.184622,128.1125498,0,0,0
211,뚜레쥬르 진주상대점,상대동,경남 진주시 동진로 192,월~일 7:00~23:00,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,3500,35.1795365,128.1120484,0,0,0
212,메가MGC커피 진주시청점 ,상대동,경남 진주시 동진로 177,월~일 9:00~21:00,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,2000,35.1798425,128.1106712,0,0,0
213,명준당진주본점,상대동,경남 진주시 모덕로 165,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1860454,128.1142983,0,0,0
214,반반스프링스 상대점,상대동,"경남 진주시 동진로 172 세원빌딩 1, 2층",월~일 9:00~23:00,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,4300,35.1793244,128.1099179,0,0,0
215,봉명동내커피 진주점,상대동,경남 진주시 상대로 4 1층,월~금 11:00~1:00 / 토~일 10:00~1:00,,/public/cafe/상대동/봉명동내커피 진주점.jpg,0,1,0,0,1,0,0,0,3300,35.1839664,128.112504,0,0,0
216,북카페연암,상대동,경남 진주시 모덕로47번길 13-17,,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,10000,35.1829643,128.1022165,0,0,0
217,빵들의수다,상대동,경남 진주시 도동천로 99,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1805109,128.110787,0,0,0
218,사랑도24시무인카페,상대동,경남 진주시 모덕로 176,24시간 영업,,/public/cafe/상대동/사랑도24시무인카페.jpg,1,0,0,0,0,0,0,1,1900,35.1867129,128.1151831,0,0,0
219,셀렉토커피 진주상대시청점,상대동,경남 진주시 도동천로 74,월~토 9:00~22:00 / 일 10:30~18:00,,/public/cafe/상대동/셀렉토커피 진주상대시청점.jpg,0,0,0,0,0,1,1,0,3200,35.1786477,128.1089178,0,0,0
220,수제하우스,상대동,경남 진주시 솔밭로 145,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1821145,128.1066028,0,0,0
221,아몽즈커피 진주시청점,상대동,경남 진주시 솔밭로 119 1층,월~일 8:00~20:00,,/public/cafe/상대동/아몽즈커피 진주시청점.jpg,1,0,0,0,1,0,0,0,2000,35.1798748,128.1066806,0,0,0
222,앙트르메,상대동,경남 진주시 돗골로 119 1층 앙트르메 카페,월~금 11:00~20:00 / 토 11:00~19:00,,/public/cafe/logo.png,1,0,0,0,0,0,0,0,2500,35.1788787,128.1121032,0,0,0
223,엔케이이뮨베이커리카페진주시청점,상대동,경남 진주시 도동천로 81,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.1794489,128.109409,0,0,0
224,오늘의 당신은,상대동,경남 진주시 동진로167번길 15-8 새상가 가제 102호,월~토 8:00~18:00,,/public/cafe/상대동/오늘의 당신은.jpg,1,0,0,0,0,0,0,0,2500,35.1809429,128.1086426,0,0,0
225,유어카페,상대동,경남 진주시 동진로167번길 15-4 가제104호,월~토 11:30~19:30,,/public/cafe/상대동/유어카페.jpg,1,1,0,0,1,0,0,0,3000,35.1809627,128.109094,0,0,0
226,유캔두잇 진주시청점,상대동,경남 진주시 돗골로117번길 12-3 1층,월~일 10:00~22:00,,/public/cafe/상대동/유캔두잇 진주시청점.jpg,1,0,0,0,1,0,0,0,3500,35.1788112,128.1109251,0,0,0
227,이디야커피 진주상대동점,상대동,경남 진주시 동진로216번길 5 1층,월~일 10:00~20:30,,/public/cafe/logo.png,0,0,0,0,0,0,1,0,3200,35.1794926,128.1149955,0,0,0
228,이른여름,상대동,경남 진주시 대신로308번길 13 1층,월~일 11:00~19:00,,/public/cafe/상대동/이른여름.jpg,1,0,0,0,0,0,0,0,10000,35.1880668,128.1183804,0,0,0
229,이뮨베이커리 진주시청점,상대동,경남 진주시 동진로 168 1층,월~토 10:00~21:00,,/public/cafe/logo.png,0,0,0,0,1,0,0,0,10000,35.1794489,128.109409,0,0,0
230,자연담은이야기,상대동,경남 진주시 돗골로 166,,,/public/cafe/logo.png,0,0,0,0,0,0,0,0,10000,35.182947,128.1121882,0,0,0
231,정동근과자점,상대동,경남 진주시 동진로 218,월~일 7:00~24:00,,/public/cafe/상대동/정동근과자점.jpg,0,0,0,0,0,0,0,0,10000,35.1796996,128.1149545,0,0,0
232,제이샌드,상대동,경남 진주시 솔밭로 136,월~금 11:00~20:00 / 토 11:00~16:00,,/public/cafe/상대동/제이샌드.jpg,1,0,0,0,0,0,0,0,2500,35.1811935,128.107083,0,0,0
233,지금여기,상대동,경남 진주시 솔밭로 121 101호,월~토 9:00~18:30,,/public/cafe/상대동/지금여기.jpg,1,1,0,0,1,1,0,1,3500,35.18005841,128.1066736,0,0,0
234,천씨씨커피 도동점,상대동,경남 진주시 동진로 184,월~일 8:30~20:00,,/public/cafe/상대동/천씨씨커피 도동점.jpg,1,0,0,0,1,0,1,0,1900,35.1794759,128.1112117,0,0,0
235,카멜커피,상대동,경남 진주시 돗골로 154,,,/public/cafe/logo.png,1,0,0,0,1,0,0,0,3500,35.18203651,128.112201,0,0,0
